DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityStartTimeZone,ActivityEndDate,ActivityEndTime,ActivityEndTimeZone,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-16,m,Probe/Sensor,Dissolved oxygen (DO),,,3.88,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-13,m,Probe/Sensor,Specific conductance,,,501,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-4C,First Lake,44.77548,-63.66374,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Escherichia coli,,,,,Actual,Below Detection/Quantification Limit,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-17,m,Probe/Sensor,Specific conductance,,,510,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-8,m,Probe/Sensor,Dissolved oxygen saturation,,,69.4,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-0.4,m,Probe/Sensor,Dissolved oxygen (DO),,,8.66,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-9,m,Probe/Sensor,pH,,,6.91,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-6,m,Probe/Sensor,Dissolved oxygen saturation,,,85.9,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-15,m,Probe/Sensor,Specific conductance,,,508,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-0.4,m,Probe/Sensor,pH,,,7.78,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-18,m,Probe/Sensor,Dissolved oxygen (DO),,,3.19,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-1,m,Probe/Sensor,"Temperature, water",,,20.2,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-12,m,Probe/Sensor,Total dissolved solids,,,324.6,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-1,m,Probe/Sensor,Specific conductance,,,495,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-20,m,Probe/Sensor,pH,,,6.92,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-19,m,Probe/Sensor,Dissolved oxygen (DO),,,2.74,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-15,m,Probe/Sensor,Salinity,,,0.25,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-10,m,Probe/Sensor,Dissolved oxygen (DO),,,5.63,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-19,m,Probe/Sensor,pH,,,6.93,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-7,First Lake,44.76761,-63.661,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Escherichia coli,,,8,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-4,m,Probe/Sensor,Specific conductance,,,494.3,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-2,m,Probe/Sensor,Total dissolved solids,,,321.6,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-1,m,Probe/Sensor,Dissolved oxygen saturation,,,93.9,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-12,m,Probe/Sensor,Dissolved oxygen (DO),,,5.91,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-16,m,Probe/Sensor,Conductivity,,,346.8,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-16,m,Probe/Sensor,"Temperature, water",,,8.3,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-6A,First Lake,44.76506,-63.65723,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Total Coliform,,,1300,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-1,m,Probe/Sensor,Total dissolved solids,,,321.6,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-18,m,Probe/Sensor,Salinity,,,0.25,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-9,m,Probe/Sensor,Salinity,,,0.24,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-8,m,Probe/Sensor,Conductivity,,,372.6,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-14,m,Probe/Sensor,Specific conductance,,,504,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-6,m,Probe/Sensor,"Temperature, water",,,14.5,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-10,m,Probe/Sensor,Conductivity,,,360.3,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-0.4,m,Probe/Sensor,Conductivity,,,449.8,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-15,m,Probe/Sensor,Dissolved oxygen (DO),,,4.4,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-3,m,Probe/Sensor,Specific conductance,,,494.6,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-9,m,Probe/Sensor,Conductivity,,,368.3,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-9,m,Probe/Sensor,Total dissolved solids,,,321.4,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-9,m,Probe/Sensor,Dissolved oxygen saturation,,,56.3,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-19,m,Probe/Sensor,Conductivity,,,346.7,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-18,m,Probe/Sensor,Total dissolved solids,,,332.2,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-5,First Lake,44.76802,-63.64847,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Escherichia coli,,,17,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-21,m,Probe/Sensor,Total dissolved solids,,,335.1,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-10,m,Probe/Sensor,Salinity,,,0.24,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-8,m,Probe/Sensor,pH,,,7,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-9,m,Probe/Sensor,Dissolved oxygen (DO),,,6.08,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-17,m,Probe/Sensor,Total dissolved solids,,,331.5,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-20,m,Probe/Sensor,Salinity,,,0.25,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-4C,First Lake,44.77548,-63.66374,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Total Coliform,,,203,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-13,m,Probe/Sensor,Conductivity,,,349.5,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-3,m,Probe/Sensor,Dissolved oxygen saturation,,,93.1,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-1,m,Probe/Sensor,pH,,,7.78,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-3,m,Probe/Sensor,Conductivity,,,446.2,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-21,m,Probe/Sensor,Salinity,,,0.25,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-9,m,Probe/Sensor,"Temperature, water",,,11.6,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-3B,First Lake,44.77657,-63.67296,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Escherichia coli,,,68,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-11,m,Probe/Sensor,Conductivity,,,352.7,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-5,m,Probe/Sensor,Dissolved oxygen (DO),,,8.77,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-22,m,Probe/Sensor,Specific conductance,,,517,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-7,m,Probe/Sensor,pH,,,7.26,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-10,m,Probe/Sensor,Dissolved oxygen saturation,,,50.9,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-2,m,Probe/Sensor,Salinity,,,0.24,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-15,m,Probe/Sensor,Dissolved oxygen saturation,,,37.6,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-4,m,Probe/Sensor,Dissolved oxygen saturation,,,93.6,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-15,m,Probe/Sensor,"Temperature, water",,,8.4,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-7,m,Probe/Sensor,Dissolved oxygen saturation,,,82.4,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-15,m,Probe/Sensor,pH,,,6.93,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-2,m,Probe/Sensor,Dissolved oxygen (DO),,,8.82,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-5,m,Probe/Sensor,Salinity,,,0.24,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-19,m,Probe/Sensor,"Temperature, water",,,8.1,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-12,m,Probe/Sensor,Salinity,,,0.24,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-22,m,Probe/Sensor,Conductivity,,,347.4,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-3,m,Probe/Sensor,Total dissolved solids,,,321.5,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-5,First Lake,44.76802,-63.64847,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Total Coliform,,,1540,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-10,m,Probe/Sensor,pH,,,6.87,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-8,m,Probe/Sensor,Salinity,,,0.24,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-4,m,Probe/Sensor,Conductivity,,,443.5,uS/cm,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-3B,First Lake,44.77657,-63.67296,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Total Coliform,,,1030,MPN/100mL,Actual,,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-19,m,Probe/Sensor,Total dissolved solids,,,333.2,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-13,m,Probe/Sensor,Salinity,,,0.24,ppth,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-17,m,Probe/Sensor,pH,,,6.93,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-5,m,Probe/Sensor,Total dissolved solids,,,319.5,mg/L,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-17,m,Probe/Sensor,"Temperature, water",,,8.2,deg C,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-18,m,Probe/Sensor,pH,,,6.93,None,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLDS-1,First Lake,44.77332,-63.66526,WGS84,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2025-06-17,,,,,,-20,m,Probe/Sensor,Dissolved oxygen saturation,,,14.1,%,Actual,,,,,,,,YSI,,,,,,
Friends of First Lake Water Quality Monitoring Data,FLEC-3A,First Lake,44.77623,-63.6735,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2025-06-17,,,,,,-0.25,m,Water Bottle,Total Coliform,,,,,Actual,Above Detection/Quantification Limit,4838,MPN/100mL,Reporting Limit,,,SM9223B,APHA,ICP-MS,,,,Nova Scotia Health Authority,
